filename,result,frame,conf
crop_0380_f00405_c0.40_55-56min.jpg,,00405,0.40
crop_0381_f00406_c0.35_55-56min.jpg,,00406,0.35
crop_0382_f00407_c0.37_55-56min.jpg,,00407,0.37
crop_0383_f00408_c0.42_55-56min.jpg,,00408,0.42
crop_0384_f00409_c0.43_55-56min.jpg,,00409,0.43
crop_0385_f00410_c0.44_55-56min.jpg,,00410,0.44
crop_0386_f00411_c0.42_55-56min.jpg,,00411,0.42
crop_0387_f00413_c0.43_55-56min.jpg,,00413,0.43
crop_0388_f00413_c0.38_55-56min.jpg,,00413,0.38
crop_0389_f00414_c0.38_55-56min.jpg,,00414,0.38
crop_0390_f00414_c0.38_55-56min.jpg,,00414,0.38
crop_0391_f00417_c0.37_55-56min.jpg,,00417,0.37
crop_0392_f00420_c0.45_55-56min.jpg,,00420,0.45
crop_0393_f00422_c0.50_55-56min.jpg,,00422,0.50
crop_0394_f00424_c0.44_55-56min.jpg,,00424,0.44
crop_0395_f00426_c0.43_55-56min.jpg,,00426,0.43
crop_0396_f00427_c0.35_55-56min.jpg,,00427,0.35
crop_0397_f00429_c0.44_55-56min.jpg,,00429,0.44
crop_0398_f00430_c0.48_55-56min.jpg,,00430,0.48
crop_0399_f00431_c0.57_55-56min.jpg,,00431,0.57
crop_0400_f00432_c0.57_55-56min.jpg,,00432,0.57
crop_0401_f00433_c0.62_55-56min.jpg,,00433,0.62
crop_0402_f00444_c0.40_55-56min.jpg,,00444,0.40
crop_0403_f00444_c0.38_55-56min.jpg,,00444,0.38
crop_0404_f00446_c0.42_55-56min.jpg,,00446,0.42
crop_0405_f00450_c0.37_55-56min.jpg,,00450,0.37
crop_0406_f00451_c0.40_55-56min.jpg,,00451,0.40
crop_0407_f00454_c0.41_55-56min.jpg,,00454,0.41
crop_0408_f00455_c0.50_55-56min.jpg,,00455,0.50
crop_0409_f00456_c0.47_55-56min.jpg,,00456,0.47
crop_0410_f00457_c0.46_55-56min.jpg,,00457,0.46
crop_0411_f00461_c0.35_55-56min.jpg,,00461,0.35
crop_0412_f00462_c0.40_55-56min.jpg,,00462,0.40
crop_0413_f00462_c0.38_55-56min.jpg,,00462,0.38
crop_0414_f00463_c0.56_55-56min.jpg,,00463,0.56
crop_0415_f00463_c0.50_55-56min.jpg,,00463,0.50
crop_0416_f00464_c0.52_55-56min.jpg,,00464,0.52
crop_0417_f00464_c0.43_55-56min.jpg,,00464,0.43
crop_0418_f00465_c0.44_55-56min.jpg,,00465,0.44
crop_0419_f00466_c0.56_55-56min.jpg,,00466,0.56
crop_0420_f00466_c0.44_55-56min.jpg,,00466,0.44
crop_0421_f00467_c0.52_55-56min.jpg,,00467,0.52
crop_0422_f00467_c0.51_55-56min.jpg,,00467,0.51
crop_0423_f00468_c0.47_55-56min.jpg,,00468,0.47
crop_0424_f00468_c0.36_55-56min.jpg,,00468,0.36
crop_0425_f00469_c0.51_55-56min.jpg,,00469,0.51
crop_0426_f00469_c0.36_55-56min.jpg,,00469,0.36
crop_0427_f00470_c0.37_55-56min.jpg,,00470,0.37
crop_0428_f00471_c0.46_55-56min.jpg,,00471,0.46
crop_0429_f00471_c0.40_55-56min.jpg,,00471,0.40
crop_0430_f00472_c0.57_55-56min.jpg,,00472,0.57
crop_0431_f00472_c0.49_55-56min.jpg,,00472,0.49
crop_0432_f00472_c0.41_55-56min.jpg,,00472,0.41
crop_0433_f00473_c0.52_55-56min.jpg,,00473,0.52
crop_0434_f00473_c0.47_55-56min.jpg,,00473,0.47
